(3, 2)
(23, 5)
(15, 1)
(10, 2)
(0, 5)
(5, 5)
(20, 3)
(5, 4)
(31, 0)
(0, 2)
(30, 0)
(25, 2)
(10, 0)
(25, 4)
(35, 1)
(25, 1)
(8, 0)
(17, 5)
(11, 2)
(30, 3)
(31, 2)
(32, 2)
(28, 1)
(36, 3)
(26, 0)
(30, 1)
(5, 3)
(15, 2)
(26, 5)
(35, 2)
(13, 5)
(38, 1)
(6, 2)
(22, 4)
(30, 4)
(15, 5)
(27, 5)
(0, 3)
(20, 4)
(15, 3)
(22, 3)
(15, 4)
(21, 2)
(5, 2)
(5, 1)
(20, 0)
(18, 5)
(13, 0)
(0, 4)
(37, 3)
(20, 1)
(30, 2)
(15, 0)
(38, 2)
(35, 0)
(22, 1)
(12, 4)
(0, 1)
(5, 0)
(28, 4)
(7, 2)
(16, 5)
(3, 1)
(30, 5)
(32, 0)
(10, 1)
(12, 1)
(27, 0)
(37, 0)
(35, 3)
(35, 5)
(35, 4)
(2, 3)
(1, 0)
(12, 3)
(25, 3)
(10, 3)
(7, 0)
(0, 0)
(33, 0)
(36, 0)
(1, 3)
(23, 0)
(2, 0)
(10, 5)
(20, 2)
(10, 4)
(6, 0)
(20, 5)
